filename	comments	StepSize	DelayTime	volts	CV-tron	IonGauge	Temperature	NEON HV	PMT HV	c0	dc0	c1	dc1	s1	ds1	c2	dc2	s2	ds2	c4	dc4	s4	ds4	mag2	angle2	mag4	angle4	SSres	 R ²
/home/pi/Data/2018-04-29/POL2018-04-29_161108.dat	vac/atmo	1	30	1.000000	8.83E+02	3.82E-03	33.599998	-0.457987	-1005.816437	0.003010	0.000133	0.000029	-0.000151	0.000029	0.000021	0.000059	0.000029	-0.000151	0.000029	-0.000024	0.000029	-0.000021	0.000029	0.000162	-1.197555	0.000032	-2.429472	0.000111	0.108402
/home/pi/Data/2018-04-29/POL2018-04-29_161216.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.599998	1797.142208	-1005.205788	0.688736	-0.000252	0.000194	-0.002070	0.000196	0.000138	-0.004321	0.000216	-0.054701	0.000172	0.290252	0.000193	-0.048849	0.000197	0.054871	-1.649626	0.294334	-0.166736	0.013516	0.999247
/home/pi/Data/2018-04-29/POL2018-04-29_161323.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.599998	1799.737468	-1005.969100	0.696548	0.001952	0.000200	0.001823	0.000198	0.000141	-0.002501	0.000221	-0.052821	0.000175	0.294467	0.000199	-0.047660	0.000199	0.052880	-1.618113	0.298299	-0.160460	0.004102	0.999777
/home/pi/Data/2018-04-29/POL2018-04-29_161429.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.599998	1803.477697	-1005.969100	0.696902	0.003225	0.000191	0.002800	0.000196	0.000137	-0.002195	0.000212	-0.052558	0.000173	0.294321	0.000194	-0.047743	0.000193	0.052604	-1.612543	0.298168	-0.160813	0.004118	0.999775
/home/pi/Data/2018-04-29/POL2018-04-29_161536.dat	vac/atmo	1	30	3.990000	9.00E+02	3.82E-03	33.799999	1800.577112	-1005.282119	0.697613	0.002730	0.000199	0.002395	0.000201	0.000142	-0.003112	0.000221	-0.052444	0.000177	0.294786	0.000202	-0.047166	0.000199	0.052537	-1.630070	0.298535	-0.158656	0.004036	0.999780
/home/pi/Data/2018-04-29/POL2018-04-29_161642.dat	vac/atmo	1	30	3.990000	8.83E+02	3.82E-03	33.700001	1801.874742	-1005.587444	0.697424	0.003269	0.000196	0.002211	0.000196	0.000139	-0.002672	0.000215	-0.052078	0.000175	0.295185	0.000196	-0.047890	0.000196	0.052146	-1.622052	0.299045	-0.160837	0.004548	0.999753
/home/pi/Data/2018-04-29/POL2018-04-29_161801.dat	vac/atmo	1	30	1.000000	1.49E+00	3.82E-03	33.799999	-1.373962	-1005.892769	0.003403	0.000019	0.000029	-0.000078	0.000029	0.000021	0.000001	0.000029	-0.000011	0.000029	-0.000002	0.000029	0.000037	0.000029	0.000011	-1.507910	0.000037	1.637273	0.000063	0.024619
/home/pi/Data/2018-04-29/POL2018-04-29_161922.dat	vac/atmo	1	30	3.990000	2.97E-01	3.82E-03	33.700001	1799.813800	-1005.816437	0.691158	0.001214	0.000195	-0.001267	0.000198	0.000139	-0.003548	0.000218	-0.053060	0.000172	0.291533	0.000196	-0.048517	0.000197	0.053178	-1.637561	0.295542	-0.164909	0.005516	0.999694
/home/pi/Data/2018-04-29/POL2018-04-29_162038.dat	vac/atmo	1	30	3.990000	2.37E-01	3.82E-03	33.700001	1803.172372	-1005.663775	0.696700	0.002800	0.000195	0.001919	0.000199	0.000139	-0.002542	0.000218	-0.052508	0.000174	0.294245	0.000197	-0.047394	0.000197	0.052570	-1.619177	0.298038	-0.159699	0.003791	0.999793
/home/pi/Data/2018-04-29/POL2018-04-29_162154.dat	vac/atmo	1	30	3.990000	2.03E-01	3.82E-03	33.700001	1800.271787	-1006.121762	0.697587	0.003286	0.000195	0.002297	0.000195	0.000138	-0.002807	0.000215	-0.051784	0.000174	0.294520	0.000194	-0.047505	0.000197	0.051860	-1.624953	0.298326	-0.159920	0.003753	0.999795
/home/pi/Data/2018-04-29/POL2018-04-29_162311.dat	vac/atmo	1	30	3.990000	1.85E-01	3.82E-03	33.799999	1801.722080	-1005.282119	0.697914	0.002712	0.000193	0.002394	0.000190	0.000135	-0.002897	0.000210	-0.052210	0.000171	0.295032	0.000190	-0.047065	0.000193	0.052291	-1.626218	0.298763	-0.158193	0.003983	0.999784
